method	n	seed	col	coverage	r2	length	group	subgroup
CalPred	10000	3	age_q_0	0.9566532258064516	0.1532366415741158	0.9679821734489372	Age	0
CalPred	10000	3	age_q_4	0.9639718804920914	0.1419621895469361	0.8688540329943191	Age	4
CalPred	10000	3	age_q_4	0.9588607594936708	0.1454388215688183	0.8982472269651776	Age	4
CalPred	10000	3	age_q_9	0.9479882237487732	0.1108223971430987	0.7407794445168715	Age	9
CalPred	10000	3	education_q_1	0.9358108108108107	0.1186384088065433	1.0323347021803504	Education	1
CalPred	10000	3	education_q_4	0.9546229955646536	0.1580530655563164	0.8285652794153042	Education	4
CalPred	10000	3	income_q_1	0.9427753934191704	0.1406586366990099	1.0479698660402823	Income	1
CalPred	10000	3	income_q_5	0.9565897536175204	0.1531861174079908	0.88164145091518	Income	5
CalPred	10000	3	income_q_9	0.9526952695269528	0.1320803208170957	0.7568721217644174	Income	9
CalPred	10000	3	marginal	0.9535	0.1644133734356388	0.8744244176885395	Overall	
CalPred	10000	3	sex_q_0	0.9551695616211744	0.1809346763830063	0.950125307018574	Sex	0
CalPred	10000	3	sex_q_1	0.9509481668773704	0.1214360841067182	0.7587197714179813	Sex	1
CalPred	10000	4	age_q_0	0.9589934762348556	0.1679318132231208	0.9621890821349384	Age	0
CalPred	10000	4	age_q_4	0.9532215357458076	0.1216081896677477	0.8661155538759565	Age	4
CalPred	10000	4	age_q_4	0.9409871244635192	0.1513437955474616	0.8981993357252491	Age	4
CalPred	10000	4	age_q_9	0.958904109589041	0.1263458726901283	0.7425838461572578	Age	9
CalPred	10000	4	education_q_1	0.9618055555555556	0.0915077640925698	1.0388160375400173	Education	1
CalPred	10000	4	education_q_4	0.957130657557643	0.1699595248809833	0.8281470913153882	Education	4
CalPred	10000	4	income_q_1	0.9421720733427362	0.0964784076064334	1.0332000753012922	Income	1
CalPred	10000	4	income_q_5	0.9549618320610688	0.1518940109846586	0.8810755965000218	Income	5
CalPred	10000	4	income_q_9	0.9472016895459344	0.1696767226078376	0.7545253936179034	Income	9
CalPred	10000	4	marginal	0.9536	0.1648275672364444	0.8723314293326397	Overall	
CalPred	10000	4	sex_q_0	0.954028752925443	0.1769131257468029	0.94780806706667	Sex	0
CalPred	10000	4	sex_q_1	0.9529616724738676	0.1302897174359526	0.7599617810188093	Sex	1
CalPred	10000	5	age_q_0	0.952161913523459	0.1610483207206614	0.973109480166694	Age	0
CalPred	10000	5	age_q_4	0.9431321084864392	0.1432113117314502	0.8670506529309783	Age	4
CalPred	10000	5	age_q_4	0.943866943866944	0.1142105221525404	0.8929183912857426	Age	4
CalPred	10000	5	age_q_9	0.941941941941942	0.1138634852053779	0.736969933050714	Age	9
