adjust	n	seed	col	coverage	r2	length
CalPred	0.1	10	marginal	0.9498	0.521635877284064	0.6891820967248241
CalPred	0.1	11	marginal	0.95	0.5331847971434605	0.69091488049078
CalPred	0.1	12	marginal	0.9499	0.5264328399994324	0.6975564662496859
CalPred	0.1	13	marginal	0.9509	0.5250613728777337	0.6773507578886678
CalPred	0.1	14	marginal	0.9503	0.5229668136123858	0.684965421141724
CalPred	0.1	15	marginal	0.9495	0.5269298281826604	0.6848800304654502
CalPred	0.1	16	marginal	0.953	0.5335649187999251	0.6862197200733801
CalPred	0.1	17	marginal	0.9514	0.5434328328031006	0.6836703873636102
CalPred	0.1	18	marginal	0.9497	0.5223109453853901	0.6906033646330981
CalPred	0.1	19	marginal	0.9476	0.5227913212822656	0.6904449067865214
CalPred	0.1	20	marginal	0.9493	0.5256444660660058	0.6863838789054829
CalPred	0.1	21	marginal	0.9487	0.5218054991472018	0.6880230054637485
CalPred	0.1	22	marginal	0.9495	0.5162702603774953	0.6869080455087905
CalPred	0.1	23	marginal	0.9487	0.521193469308604	0.6858574609309985
CalPred	0.1	24	marginal	0.9512	0.5281358922897155	0.7036343715724273
CalPred	0.1	25	marginal	0.9502	0.5149786028859882	0.6830840589820718
CalPred	0.1	26	marginal	0.9511	0.5043994584983198	0.7045796352996406
CalPred	0.1	27	marginal	0.9462	0.5135242654805753	0.6783103151518296
CalPred	0.1	28	marginal	0.9538	0.5329960957899611	0.6948646982894627
CalPred	0.1	29	marginal	0.9517	0.5324404888670408	0.683369573229377
PredInterval	0.1	0	marginal	0.9561	0.5302611551139139	1.2199089828831426
PredInterval	0.1	0	marginal	0.9592	0.5503039578437203	1.1037370263274873
PredInterval	0.1	0	marginal	0.9601	0.544225177986304	1.1709439403411372
PredInterval	0.1	0	marginal	0.9621	0.5361425860323922	1.3861450439315812
PredInterval	0.1	0	marginal	0.9619	0.557527468300134	1.1034712305416148
PredInterval	0.1	0	marginal	0.9574	0.532025484323402	1.4155034618310314
PredInterval	0.1	0	marginal	0.9581	0.5216855436586485	1.3880419962079782
PredInterval	0.1	0	marginal	0.9675	0.5421212738810676	1.153896790871243
PredInterval	0.1	0	marginal	0.9539	0.5188729408403715	1.6572566153517958
PredInterval	0.1	0	marginal	0.9613	0.5383543097439022	1.2201660253960065
PredInterval	0.1	0	marginal	0.9603	0.534557693714332	1.371067762418397
PredInterval	0.1	0	marginal	0.9618	0.5469512522523522	1.2412700587047791
PredInterval	0.1	0	marginal	0.9604	0.539494287204605	1.2748293496844567
PredInterval	0.1	0	marginal	0.9638	0.5361086265262168	1.0868018208716332
PredInterval	0.1	0	marginal	0.9577	0.5357838885438251	1.1965511459389184
PredInterval	0.1	0	marginal	0.967	0.5391269922254319	1.1223979714093522
PredInterval	0.1	0	marginal	0.9611	0.5445953861818961	1.2048956730337343
PredInterval	0.1	0	marginal	0.9648	0.5570511796658003	1.1319968688705262
PredInterval	0.1	0	marginal	0.9586	0.5356079831444136	1.1368315842351302
PredInterval	0.1	0	marginal	0.9626	0.5349525571920463	1.1011957764143394
PredInterval	0.1	0	marginal	0.959	0.5380063026968332	1.2471713137231188
PredInterval	0.1	0	marginal	0.9608	0.5357378388698627	1.158022296209838
PredInterval	0.1	0	marginal	0.9605	0.52896076133351	1.136144123513999
PredInterval	0.1	0	marginal	0.9617	0.5315911815191466	1.1967389484479185
PredInterval	0.1	0	marginal	0.9605	0.5423573523351857	1.487603229983374
PredInterval	0.1	0	marginal	0.957	0.5264083865750915	2.138195958696932
PredInterval	0.1	0	marginal	0.9569	0.5164235014121297	1.2912368018933795
PredInterval	0.1	0	marginal	0.9579	0.5293408491462557	1.2295663782339157
PredInterval	0.1	0	marginal	0.9538	0.5459862705032312	1.6217940418938788
PredInterval	0.1	0	marginal	0.9592	0.5457815721803055	1.2559800046234897
CalPred	1.0	0	marginal	0.9462	0.5040289602424443	0.6952268597432407
CalPred	1.0	1	marginal	0.9531	0.5224565193027121	0.6903379775553132
CalPred	1.0	2	marginal	0.9514	0.5137491453877019	0.696241266430823
CalPred	1.0	3	marginal	0.9492	0.5182281938943945	0.6860143222807126
CalPred	1.0	4	marginal	0.9486	0.5058666410412967	0.6905580179565475
CalPred	1.0	5	marginal	0.9473	0.5172213463008056	0.6958823685352973
CalPred	1.0	6	marginal	0.9467	0.5056455652298023	0.6913735040592132
CalPred	1.0	7	marginal	0.9484	0.508824005929338	0.6955640746032905
CalPred	1.0	8	marginal	0.9503	0.5227694388683026	0.6864104848134295
CalPred	1.0	9	marginal	0.9471	0.5053730052269009	0.6896948665702863
CalPred	1.0	10	marginal	0.9459	0.5102973230458558	0.6942157675319757
CalPred	1.0	11	marginal	0.9495	0.5306587375989243	0.6887181674936323
CalPred	1.0	12	marginal	0.9539	0.5223528036533929	0.6988393745107958
CalPred	1.0	13	marginal	0.9528	0.5157359947689151	0.6893002608122679
CalPred	1.0	14	marginal	0.9492	0.5225929315914245	0.6878975372234807
CalPred	1.0	15	marginal	0.9528	0.523476082036097	0.6929304592455966
CalPred	1.0	16	marginal	0.9501	0.5020034193868397	0.6987668256317209
CalPred	1.0	17	marginal	0.9519	0.5306659581257399	0.6876981815187572
CalPred	1.0	18	marginal	0.9472	0.511514433540389	0.6935246879843576
CalPred	1.0	19	marginal	0.951	0.5381455673898846	0.6920914178930838
CalPred	1.0	20	marginal	0.9532	0.5387732790628093	0.6880265261514248
CalPred	1.0	21	marginal	0.9482	0.5280994526758365	0.6865734495642409
CalPred	1.0	22	marginal	0.952	0.5175123737843008	0.6920805424405133
CalPred	1.0	23	marginal	0.9497	0.5220304874647008	0.6896139218709127
CalPred	1.0	24	marginal	0.9488	0.5241152655581134	0.6919737488048802
CalPred	1.0	25	marginal	0.9526	0.5311519871787538	0.6847679322086216
CalPred	1.0	26	marginal	0.95	0.5012642469443697	0.7052297077840167
CalPred	1.0	27	marginal	0.9449	0.5074929583982027	0.6885453256769993
CalPred	1.0	28	marginal	0.9538	0.5302859551539014	0.6928886363916416
CalPred	1.0	29	marginal	0.9555	0.5271312159181542	0.6914825845206577
PredInterval	1.0	0	marginal	0.9553	0.5198700231756767	1.4449277338792987
PredInterval	1.0	0	marginal	0.9629	0.5348522429698317	1.0763430995226475
PredInterval	1.0	0	marginal	0.9592	0.528051898231148	1.2081834358121724
PredInterval	1.0	0	marginal	0.962	0.5307402052171413	1.1626103786103876
PredInterval	1.0	0	marginal	0.9606	0.5147891500402801	1.3523735506264
PredInterval	1.0	0	marginal	0.9659	0.5304826476938358	1.0878800768827686
PredInterval	1.0	0	marginal	0.9605	0.5156794262824461	1.0836400524797474
PredInterval	1.0	0	marginal	0.9601	0.5237758668934641	1.247326210070883
PredInterval	1.0	0	marginal	0.9638	0.5369809327254562	1.09336847429962
PredInterval	1.0	0	marginal	0.963	0.5223327167459126	1.1174231153601772
PredInterval	1.0	0	marginal	0.9639	0.522270828856059	1.0931390751744716
PredInterval	1.0	0	marginal	0.9581	0.5405862910031479	1.5719748114442336
PredInterval	1.0	0	marginal	0.9659	0.5347083838112331	1.091661557061392
PredInterval	1.0	0	marginal	0.9658	0.5277286623988084	1.1738587400484246
PredInterval	1.0	0	marginal	0.9633	0.5350132792028858	1.1435431147063575
PredInterval	1.0	0	marginal	0.9635	0.5386760713985721	1.1272364883134245
PredInterval	1.0	0	marginal	0.9606	0.5109313606365172	1.1180853410150422
PredInterval	1.0	0	marginal	0.9675	0.5426458967780705	1.100214510758747
