method	n	seed	col	coverage	r2	length	group	subgroup
PredInterval	10000	7	education_q_1	0.9387755102040816	0.0217025120580851	1.2302164771111173	Education	1
PredInterval	10000	7	education_q_4	0.96064	0.0226240980714806	1.2183764029097954	Education	4
PredInterval	10000	7	income_q_1	0.9491150442477876	0.015850949325858	1.226994423014363	Income	1
PredInterval	10000	7	income_q_5	0.9488173710740596	0.0193686943556502	1.220785177802048	Income	5
PredInterval	10000	7	income_q_9	0.963302752293578	0.0128785325142752	1.2156967284477425	Income	9
PredInterval	10000	7	marginal	0.9556	0.0250423608687298	1.2205521526316252	Overall	
PredInterval	10000	7	sex_q_0	0.9633305298570228	0.0153193856703642	1.2193759495894223	Sex	0
PredInterval	10000	7	sex_q_1	0.9442663378545006	0.0147470949087376	1.222276573614583	Sex	1
PredInterval	10000	8	age_q_0	0.977035490605428	0.032506884176559	1.2184197782665716	Age	0
PredInterval	10000	8	age_q_4	0.9500531349628056	0.0091597967843094	1.226097020764067	Age	4
PredInterval	10000	8	age_q_4	0.947833065810594	0.0225066713592019	1.2272243053684293	Age	4
PredInterval	10000	8	age_q_9	0.94320987654321	0.0243168966139875	1.2249074519821004	Age	9
PredInterval	10000	8	education_q_1	0.9358288770053476	0.0314295892957794	1.2404499735406944	Education	1
PredInterval	10000	8	education_q_4	0.96011396011396	0.0317940824440159	1.2224715863746003	Education	4
PredInterval	10000	8	income_q_1	0.9241379310344828	0.0213176947439134	1.2334318770044108	Income	1
PredInterval	10000	8	income_q_5	0.9502586549940312	0.021668081112994	1.225760620435173	Income	5
PredInterval	10000	8	income_q_9	0.9624542124542124	0.0387638424093233	1.2203385799014272	Income	9
PredInterval	10000	8	marginal	0.955	0.0295902904495037	1.224970513970974	Overall	
PredInterval	10000	8	sex_q_0	0.9607810132974248	0.0145241586757782	1.2235866912417317	Sex	0
PredInterval	10000	8	sex_q_1	0.946538556294654	0.0187591182463245	1.2269959613310213	Sex	1
PredInterval	10000	9	age_q_0	0.9764243614931236	0.0009424086568186	1.215991710882942	Age	0
PredInterval	10000	9	age_q_4	0.9493355481727574	0.0115345415325138	1.2215086862006796	Age	4
PredInterval	10000	9	age_q_4	0.9482071713147412	0.0232813824035739	1.22132552702156	Age	4
PredInterval	10000	9	age_q_9	0.9458167330677292	0.0245596399615107	1.2210166320833928	Age	9
PredInterval	10000	9	education_q_1	0.9292929292929292	0.0041505580410914	1.2282702757123665	Education	1
PredInterval	10000	9	education_q_4	0.9623457779202051	0.0275353610288691	1.2191233814025408	Education	4
PredInterval	10000	9	income_q_1	0.9234042553191488	0.0049657290679201	1.2263112658748856	Income	1
PredInterval	10000	9	income_q_5	0.9495665878644602	0.0134353342896956	1.2214912706044037	Income	5
PredInterval	10000	9	income_q_9	0.9767008387698044	0.0434663822735689	1.217256419698355	Income	9
PredInterval	10000	9	marginal	0.957	0.0252507832937659	1.2208142958515071	Overall	
PredInterval	10000	9	sex_q_0	0.9627804214819852	0.0097993618619691	1.2196645682490164	Sex	0
PredInterval	10000	9	sex_q_1	0.9487366375121478	0.0200683702892526	1.2224578811802371	Sex	1
