method	n	seed	col	coverage	r2	length	group	subgroup	cv
CalPred	10000	3	income_q_1	0.94206008583691	0.0013824497869781062	1.014203576339733	Income	1	3
CalPred	10000	3	income_q_1	0.94206008583691	0.0019423184460078972	1.014203576339733	Income	1	4
CalPred	10000	3	income_q_1	0.94206008583691	0.0029702763522032297	1.014203576339733	Income	1	5
CalPred	10000	3	income_q_5	0.9547024952015356	0.004288587730946178	0.9477891172301148	Income	5	1
CalPred	10000	3	income_q_5	0.9547024952015356	0.0013604318658571276	0.9477891172301148	Income	5	2
CalPred	10000	3	income_q_5	0.9547024952015356	0.0031288450368677986	0.9477891172301148	Income	5	3
CalPred	10000	3	income_q_5	0.9547024952015356	0.0037910844993890237	0.9477891172301148	Income	5	4
CalPred	10000	3	income_q_5	0.9547024952015356	0.0030307466249632634	0.9477891172301148	Income	5	5
CalPred	10000	3	income_q_9	0.9465290806754222	0.0002634700224415718	0.8734387623086107	Income	9	1
CalPred	10000	3	income_q_9	0.9465290806754222	5.132430193666283e-05	0.8734387623086107	Income	9	2
CalPred	10000	3	income_q_9	0.9465290806754222	8.499762508517915e-07	0.8734387623086107	Income	9	3
CalPred	10000	3	income_q_9	0.9465290806754222	2.348743216758254e-05	0.8734387623086107	Income	9	4
CalPred	10000	3	income_q_9	0.9465290806754222	8.326409400466725e-06	0.8734387623086107	Income	9	5
CalPred	10000	3	marginal	0.9484	0.0031690523315579078	0.9349726214004936	Overall		1
CalPred	10000	3	marginal	0.9484	0.0016765589878356664	0.9349726214004936	Overall		2
CalPred	10000	3	marginal	0.9484	0.003004919325451694	0.9349726214004936	Overall		3
CalPred	10000	3	marginal	0.9484	0.003268172466080884	0.9349726214004936	Overall		4
CalPred	10000	3	marginal	0.9484	0.0034509597239945075	0.9349726214004936	Overall		5
CalPred	10000	3	sex_q_0	0.9488711819389112	0.0035141991260130437	0.9035793455228172	Sex	0	1
CalPred	10000	3	sex_q_0	0.9488711819389112	0.001729727338404519	0.9035793455228172	Sex	0	2
CalPred	10000	3	sex_q_0	0.9488711819389112	0.003169931451431304	0.9035793455228172	Sex	0	3
CalPred	10000	3	sex_q_0	0.9488711819389112	0.003163739113606205	0.9035793455228172	Sex	0	4
CalPred	10000	3	sex_q_0	0.9488711819389112	0.004004623801987638	0.9035793455228172	Sex	0	5
CalPred	10000	3	sex_q_1	0.9476861167002012	0.0026643465685548657	0.9825362768046992	Sex	1	1
CalPred	10000	3	sex_q_1	0.9476861167002012	0.0015773158871422957	0.9825362768046992	Sex	1	2
CalPred	10000	3	sex_q_1	0.9476861167002012	0.002758975206120799	0.9825362768046992	Sex	1	3
CalPred	10000	3	sex_q_1	0.9476861167002012	0.003430063902012176	0.9825362768046992	Sex	1	4
CalPred	10000	3	sex_q_1	0.9476861167002012	0.0026450051590139047	0.9825362768046992	Sex	1	5
CalPred	10000	4	age_q_0	0.9521988527724664	0.005173751422971124	0.8530194988695746	Age	0	1
CalPred	10000	4	age_q_0	0.9521988527724664	0.010637617997619584	0.8530194988695746	Age	0	2
CalPred	10000	4	age_q_0	0.9521988527724664	0.012812742421965341	0.8530194988695746	Age	0	3
CalPred	10000	4	age_q_0	0.9521988527724664	0.01313289804113463	0.8530194988695746	Age	0	4
CalPred	10000	4	age_q_0	0.9521988527724664	0.006708072257041193	0.8530194988695746	Age	0	5
CalPred	10000	4	age_q_4	0.9555016181229772	0.0040255600172401365	0.9731286615316204	Age	4	1
CalPred	10000	4	age_q_4	0.9555016181229772	0.0005166941411204156	0.9731286615316204	Age	4	2
CalPred	10000	4	age_q_4	0.9555016181229772	0.0015730947088813752	0.9731286615316204	Age	4	3
CalPred	10000	4	age_q_4	0.9555016181229772	0.004045483941507684	0.9731286615316204	Age	4	4
CalPred	10000	4	age_q_4	0.9555016181229772	0.001372310661611996	0.9731286615316204	Age	4	5
CalPred	10000	4	age_q_4	0.9515151515151516	0.0040255600172401365	0.9648988221945096	Age	4	1
CalPred	10000	4	age_q_4	0.9515151515151516	0.0005166941411204156	0.9648988221945096	Age	4	2
CalPred	10000	4	age_q_4	0.9515151515151516	0.0015730947088813752	0.9648988221945096	Age	4	3
CalPred	10000	4	age_q_4	0.9515151515151516	0.004045483941507684	0.9648988221945096	Age	4	4
CalPred	10000	4	age_q_4	0.9515151515151516	0.001372310661611996	0.9648988221945096	Age	4	5
CalPred	10000	4	age_q_9	0.9482619240097008	0.003389209567069169	0.9831542794490756	Age	9	1
CalPred	10000	4	age_q_9	0.9482619240097008	0.0038472271759434577	0.9831542794490756	Age	9	2
CalPred	10000	4	age_q_9	0.9482619240097008	0.003000933605133453	0.9831542794490756	Age	9	3
CalPred	10000	4	age_q_9	0.9482619240097008	0.006656656229985088	0.9831542794490756	Age	9	4
CalPred	10000	4	age_q_9	0.9482619240097008	0.005714622651968647	0.9831542794490756	Age	9	5
CalPred	10000	4	education_q_1	0.9585798816568049	0.005614003937190908	1.0972312109219389	Education	1	1
CalPred	10000	4	education_q_1	0.9585798816568049	0.008464805150666947	1.0972312109219389	Education	1	2
CalPred	10000	4	education_q_1	0.9585798816568049	0.011528657842712696	1.0972312109219389	Education	1	3
CalPred	10000	4	education_q_1	0.9585798816568049	0.02223377415727576	1.0972312109219389	Education	1	4
